,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
1,Alabama,1940.45,2015,1690.45,Clemson,(40 - **45**) W,16.54,(14 - 1),(8 - 1),SEC,West,alabama,True
2,Clemson,1860.22,2015,1663.49,Alabama,(**40** - 45) L,-16.54,(14 - 1),(9 - 1),ACC,Atlantic,clemson,True
3,Ohio State,1851.66,2015,1589.22,Notre Dame,(**44** - 28) W,17.49,(12 - 1),(7 - 1),Big Ten,East,ohiostate,True
4,Stanford,1811.76,2015,1613.84,Iowa,(16 - **45**) W,31.8,(12 - 2),(9 - 2),Pac-12,North,stanford,True
5,Houston,1793.46,2015,1601.06,Florida State,(24 - **38**) W,31.37,(13 - 1),(8 - 1),American Athletic,West,houston,True
6,Florida State,1790.33,2015,1646.89,Houston,(**24** - 38) L,-31.37,(10 - 3),(6 - 3),ACC,Atlantic,floridastate,True
7,TCU,1788.85,2015,1623.47,Oregon,(**47** - 41) W,15.66,(11 - 2),(7 - 2),Big 12,,tcu,True
8,Michigan State,1774.24,2015,1616.26,Alabama,(38 - **0**) L,-23.15,(12 - 2),(8 - 2),Big Ten,East,michiganstate,True
9,Ole Miss,1773.24,2015,1643.06,Oklahoma State,(**48** - 20) W,24.49,(10 - 3),(6 - 3),SEC,West,olemiss,True
10,Oklahoma,1772.42,2015,1605.45,Clemson,(37 - **17**) L,-22.2,(11 - 2),(8 - 2),Big 12,,oklahoma,True
11,Baylor,1765.4,2015,1622.02,North Carolina,(**49** - 38) W,23.13,(10 - 3),(6 - 3),Big 12,,baylor,True
12,Western Kentucky,1751.79,2015,1541.13,South Florida,(35 - **45**) W,18.41,(12 - 2),(9 - 2),Conference USA,East,wku,True
13,North Carolina,1746.32,2015,1681.29,Baylor,(49 - **38**) L,-23.13,(11 - 3),(8 - 3),ACC,Coastal,northcarolina,True
14,Georgia,1735.63,2015,1613.33,Penn State,(**24** - 17) W,11.19,(10 - 3),(5 - 3),SEC,East,georgia,True
15,San Diego State,1732.71,2015,1557.56,Cincinnati,(7 - **42**) W,28.48,(11 - 3),(9 - 3),Mountain West,West,,True
16,Oregon,1730.29,2015,1622.74,TCU,(47 - **41**) L,-15.66,(9 - 4),(7 - 4),Pac-12,North,oregon,True
17,Navy,1728.06,2015,1579.06,Pittsburgh,(**44** - 28) W,19.3,(11 - 2),(7 - 2),American Athletic,West,navy,True
18,Tennessee,1720.24,2015,1611.19,Northwestern,(**45** - 6) W,29.21,(9 - 4),(5 - 4),SEC,East,tennessee,True
19,Boise State,1715.72,2015,1567.08,Northern Illinois,(7 - **55**) W,36.62,(9 - 4),(5 - 4),Mountain West,Mountain,,True
20,Marshall,1714.07,2015,1514.64,Connecticut,(**16** - 10) W,7.65,(10 - 3),(6 - 3),Conference USA,East,marshall,True
21,Mississippi State,1712.54,2015,1637.42,NC State,(**51** - 28) W,22.41,(9 - 4),(4 - 4),SEC,West,mississippistate,True
22,Wisconsin,1711.03,2015,1545.95,USC,(**23** - 21) W,8.4,(10 - 3),(6 - 3),Big Ten,West,wisconsin,True
23,Michigan,1710.18,2015,1590.48,Florida,(7 - **41**) W,37.72,(10 - 3),(6 - 3),Big Ten,East,michigan,True
