,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
24,Notre Dame,1706.56,2015,1610.9,Ohio State,(44 - **28**) L,-17.49,(10 - 3),(0 - 3),FBS Independents,,notredame,True
25,Iowa,1706.16,2015,1600.38,Stanford,(**16** - 45) L,-31.8,(12 - 2),(8 - 2),Big Ten,West,iowa,True
26,Toledo,1704.43,2015,1539.45,Temple,(**32** - 17) W,22.1,(10 - 2),(6 - 2),Mid-American,West,toledo,True
27,Appalachian State,1703.39,2015,1537.15,Ohio,(**31** - 29) W,6.45,(11 - 2),(7 - 2),Sun Belt,,appalachianstate,True
28,BYU,1696.33,2015,1598.1,Utah,(35 - **28**) L,-20.19,(9 - 4),(0 - 4),FBS Independents,,byu,True
29,Arkansas,1694.77,2015,1647.99,Kansas State,(**45** - 23) W,19.49,(8 - 5),(5 - 5),SEC,West,arkansas,True
30,Utah,1691.74,2015,1589.24,BYU,(**35** - 28) W,20.19,(10 - 3),(6 - 3),Pac-12,South,utah,True
31,LSU,1691.61,2015,1620.84,Texas Tech,(27 - **56**) W,27.59,(9 - 3),(5 - 3),SEC,West,lsu,True
32,Louisville,1670.77,2015,1621.62,Texas A&M,(**27** - 21) W,16.99,(8 - 5),(5 - 5),ACC,Atlantic,louisville,True
33,Louisiana Tech,1668.66,2015,1579.96,Arkansas State,(**47** - 28) W,27.88,(9 - 4),(6 - 4),Conference USA,West,louisianatech,True
34,Bowling Green,1663.99,2015,1552.56,Georgia Southern,(**27** - 58) L,-41.73,(10 - 4),(8 - 4),Mid-American,East,bowlinggreen,True
35,Georgia Southern,1663.87,2015,1555.01,Bowling Green,(27 - **58**) W,41.73,(9 - 4),(6 - 4),Sun Belt,,georgiasouthern,True
36,Oklahoma State,1663.44,2015,1632.64,Ole Miss,(48 - **20**) L,-24.49,(10 - 3),(7 - 3),Big 12,,oklahomastate,True
37,Washington,1661.11,2015,1641.57,Southern Mississippi,(31 - **44**) W,27.19,(7 - 6),(4 - 6),Pac-12,North,washington,True
38,USC,1649.65,2015,1614.07,Wisconsin,(23 - **21**) L,-8.4,(8 - 6),(6 - 6),Pac-12,South,,True
39,Florida,1647.87,2015,1618.38,Michigan,(**7** - 41) L,-37.72,(10 - 4),(7 - 4),SEC,East,florida,True
40,Arkansas State,1639.98,2015,1544.93,Louisiana Tech,(47 - **28**) L,-27.88,(9 - 4),(8 - 4),Sun Belt,,arkansasstate,True
41,Texas A&M,1638.85,2015,1631.25,Louisville,(27 - **21**) L,-16.99,(8 - 5),(4 - 5),SEC,West,texasam,True
42,Memphis,1635.92,2015,1586.27,Auburn,(**10** - 31) L,-37.0,(9 - 4),(5 - 4),American Athletic,West,memphis,True
43,West Virginia,1633.53,2015,1612.47,Arizona State,(42 - **43**) W,6.94,(8 - 5),(4 - 5),Big 12,,westvirginia,True
44,Auburn,1630.18,2015,1644.53,Memphis,(10 - **31**) W,37.0,(7 - 6),(2 - 6),SEC,West,auburn,True
45,Temple,1629.62,2015,1553.39,Toledo,(32 - **17**) L,-22.1,(10 - 4),(7 - 4),American Athletic,East,temple,True
46,Northwestern,1628.99,2015,1630.86,Tennessee,(45 - **6**) L,-29.21,(10 - 3),(6 - 3),Big Ten,West,northwestern,True
47,UCLA,1624.97,2015,1579.14,Nebraska,(37 - **29**) L,-22.22,(8 - 5),(5 - 5),Pac-12,South,ucla,True
48,Western Michigan,1622.88,2015,1597.49,Middle Tennessee,(**45** - 31) W,22.92,(8 - 5),(6 - 5),Mid-American,West,westernmichigan,True
49,Virginia Tech,1620.32,2015,1624.03,Tulsa,(**55** - 52) W,7.65,(7 - 6),(4 - 6),ACC,Coastal,virginiatech,True
50,Miami,1620.02,2015,1649.62,Washington State,(20 - **14**) L,-19.05,(8 - 5),(5 - 5),ACC,Coastal,miami,True
51,Washington State,1609.54,2015,1626.91,Miami,(**20** - 14) W,19.05,(9 - 4),(6 - 4),Pac-12,North,,True
52,Pittsburgh,1608.37,2015,1634.04,Navy,(44 - **28**) L,-19.3,(8 - 5),(6 - 5),ACC,Coastal,pittsburgh,True
53,Duke,1608.1,2015,1591.75,Indiana,(**44** - 41) W,9.42,(8 - 5),(4 - 5),ACC,Coastal,duke,True
54,Nebraska,1606.37,2015,1583.7,UCLA,(**37** - 29) W,22.22,(6 - 7),(3 - 7),Big Ten,West,nebraska,True
55,Southern Mississippi,1606.08,2015,1582.91,Washington,(**31** - 44) L,-27.19,(9 - 5),(7 - 5),Conference USA,West,southernmiss,True
56,Arizona State,1606.07,2015,1626.83,West Virginia,(**42** - 43) L,-6.94,(6 - 7),(4 - 7),Pac-12,South,,True
57,Northern Illinois,1602.98,2015,1586.9,Boise State,(**7** - 55) L,-36.62,(8 - 6),(6 - 6),Mid-American,West,northernillinois,True
58,South Florida,1602.4,2015,1604.19,Western Kentucky,(**35** - 45) L,-18.41,(8 - 5),(6 - 5),American Athletic,East,usf,True
59,Arizona,1598.34,2015,1609.97,New Mexico,(37 - **45**) W,19.09,(7 - 6),(3 - 6),Pac-12,South,arizona,True
60,NC State,1597.21,2015,1626.27,Mississippi State,(51 - **28**) L,-22.41,(7 - 6),(3 - 6),ACC,Atlantic,ncstate,True
61,California,1596.63,2015,1636.9,Air Force,(36 - **55**) W,34.81,(8 - 5),(4 - 5),Pac-12,North,california,True
62,Air Force,1588.54,2015,1577.17,California,(**36** - 55) L,-34.81,(8 - 6),(6 - 6),Mountain West,Mountain,airforce,True
63,Colorado State,1576.6,2015,1548.34,Nevada,(**23** - 28) L,-21.36,(7 - 6),(5 - 6),Mountain West,Mountain,,True
64,Cincinnati,1574.6,2015,1596.69,San Diego State,(**7** - 42) L,-28.48,(7 - 6),(4 - 6),American Athletic,East,cincinnati,True
65,Utah State,1572.86,2015,1600.27,Akron,(**21** - 23) L,-11.96,(6 - 7),(5 - 7),Mountain West,Mountain,,True
66,Central Michigan,1571.19,2015,1559.32,Minnesota,(21 - **14**) L,-21.49,(7 - 6),(6 - 6),Mid-American,West,centralmichigan,True
67,Akron,1571.08,2015,1536.29,Utah State,(21 - **23**) W,11.96,(8 - 5),(5 - 5),Mid-American,East,akron,True
68,Middle Tennessee,1567.7,2015,1578.34,Western Michigan,(45 - **31**) L,-22.92,(7 - 6),(6 - 6),Conference USA,East,middletennessee,True
69,Ohio,1566.07,2015,1573.37,Appalachian State,(31 - **29**) L,-6.45,(8 - 5),(5 - 5),Mid-American,East,,True
70,Penn State,1565.41,2015,1594.63,Georgia,(24 - **17**) L,-11.19,(7 - 6),(4 - 6),Big Ten,East,pennstate,True
71,Missouri,1556.57,2015,1632.75,Arkansas,(28 - **3**) L,-22.78,(5 - 7),(1 - 7),SEC,East,missouri,True
72,Kansas State,1547.63,2015,1615.21,Arkansas,(45 - **23**) L,-19.49,(6 - 7),(3 - 7),Big 12,,kansasstate,True
73,Georgia Tech,1542.63,2015,1646.75,Georgia,(**7** - 13) L,-12.99,(3 - 9),(1 - 9),ACC,Coastal,georgiatech,True
74,Texas Tech,1542.23,2015,1617.26,LSU,(**27** - 56) L,-27.59,(7 - 6),(4 - 6),Big 12,,texastech,True
75,Nevada,1542.14,2015,1562.21,Colorado State,(23 - **28**) W,21.36,(7 - 6),(5 - 6),Mountain West,West,nevada,True
76,Minnesota,1540.75,2015,1607.36,Central Michigan,(**21** - 14) W,21.49,(6 - 7),(2 - 7),Big Ten,West,minnesota,True
77,East Carolina,1526.67,2015,1570.03,Cincinnati,(**16** - 19) L,-12.67,(5 - 7),(3 - 7),American Athletic,East,eastcarolina,True
78,Texas,1524.58,2015,1586.49,Baylor,(17 - **23**) W,28.01,(5 - 7),(4 - 7),Big 12,,texas,True
79,San José State,1509.66,2015,1573.35,Georgia State,(16 - **27**) W,27.26,(6 - 7),(4 - 7),Mountain West,West,,True
80,Indiana,1507.23,2015,1614.07,Duke,(44 - **41**) L,-9.42,(6 - 7),(2 - 7),Big Ten,East,indiana,True
81,South Carolina,1504.56,2015,1650.64,Clemson,(**32** - 37) L,-6.29,(3 - 9),(1 - 9),SEC,East,southcarolina,True
82,Boston College,1503.78,2015,1675.97,Syracuse,(20 - **17**) L,-14.66,(3 - 9),(0 - 9),ACC,Atlantic,bostoncollege,True
83,New Mexico,1490.24,2015,1568.8,Arizona,(**37** - 45) L,-19.09,(7 - 6),(5 - 6),Mountain West,Mountain,newmexico,True
84,Georgia State,1484.84,2015,1562.35,San José State,(**16** - 27) L,-27.26,(6 - 7),(5 - 7),Sun Belt,,georgiastate,True
85,Virginia,1484.1,2015,1642.45,Virginia Tech,(**20** - 23) L,-10.83,(4 - 8),(3 - 8),ACC,Coastal,virginia,True
86,Kentucky,1482.34,2015,1620.77,Louisville,(**24** - 38) L,-19.53,(5 - 7),(2 - 7),SEC,East,kentucky,True
87,Illinois,1481.0,2015,1624.08,Northwestern,(**14** - 24) L,-16.66,(5 - 7),(2 - 7),Big Ten,West,illinois,True
88,Rutgers,1475.0,2015,1597.72,Maryland,(**41** - 46) L,-21.22,(4 - 8),(1 - 8),Big Ten,East,rutgers,True
89,Buffalo,1473.63,2015,1530.37,UMass,(**26** - 31) L,-23.68,(5 - 7),(3 - 7),Mid-American,East,buffalo,True
90,Connecticut,1471.84,2015,1614.78,Marshall,(16 - **10**) L,-7.65,(6 - 7),(4 - 7),American Athletic,East,connecticut,True
91,Vanderbilt,1466.35,2015,1651.06,Tennessee,(53 - **28**) L,-14.57,(4 - 8),(2 - 8),SEC,East,vanderbilt,True
92,Tulsa,1463.89,2015,1545.18,Virginia Tech,(55 - **52**) L,-7.65,(6 - 7),(3 - 7),American Athletic,West,tulsa,True
93,Rice,1463.79,2015,1539.26,Charlotte,(**27** - 7) W,19.54,(5 - 7),(3 - 7),Conference USA,West,rice,True
94,Troy,1462.15,2015,1553.89,Louisiana,(17 - **41**) W,37.73,(4 - 8),(3 - 8),Sun Belt,,troy,True
95,Florida International,1454.53,2015,1552.4,Western Kentucky,(**7** - 63) L,-25.11,(5 - 7),(3 - 7),Conference USA,East,fiu,True
96,Louisiana,1453.28,2015,1529.57,Troy,(**17** - 41) L,-37.73,(4 - 8),(3 - 8),Sun Belt,,louisiana,True
97,Syracuse,1448.6,2015,1628.08,Boston College,(**20** - 17) W,14.66,(4 - 8),(2 - 8),ACC,Atlantic,syracuse,True
98,Maryland,1444.49,2015,1636.32,Rutgers,(41 - **46**) W,21.22,(3 - 9),(1 - 9),Big Ten,East,maryland,True
99,South Alabama,1436.43,2015,1575.97,Appalachian State,(**27** - 34) L,-10.19,(5 - 7),(3 - 7),Sun Belt,,southalabama,True
100,Colorado,1433.29,2015,1626.26,Utah,(20 - **14**) L,-7.79,(4 - 9),(1 - 9),Pac-12,South,colorado,True
101,Old Dominion,1431.98,2015,1550.28,Florida Atlantic,(**31** - 33) L,-12.53,(5 - 7),(3 - 7),Conference USA,East,olddominion,True
102,Iowa State,1430.18,2015,1652.27,West Virginia,(30 - **6**) L,-15.8,(3 - 9),(2 - 9),Big 12,,iowastate,True
103,UTEP,1420.58,2015,1523.63,North Texas,(17 - **20**) W,12.1,(5 - 7),(3 - 7),Conference USA,West,utep,True
104,Wake Forest,1420.02,2015,1656.45,Duke,(**21** - 27) L,-13.14,(3 - 9),(1 - 9),ACC,Atlantic,wakeforest,True
105,Ball State,1409.02,2015,1578.1,Bowling Green,(**10** - 48) L,-18.83,(3 - 9),(2 - 9),Mid-American,West,,True
106,Fresno State,1408.15,2015,1582.98,Colorado State,(**31** - 34) L,-8.74,(3 - 9),(2 - 9),Mountain West,West,fresnostate,True
107,Florida Atlantic,1406.31,2015,1549.61,Old Dominion,(31 - **33**) W,12.53,(3 - 9),(3 - 9),Conference USA,East,fau,True
108,Texas State,1395.76,2015,1532.4,Arkansas State,(55 - **17**) L,-13.32,(3 - 9),(2 - 9),Sun Belt,,texasstate,True
109,UT San Antonio,1389.37,2015,1517.32,Middle Tennessee,(**7** - 42) L,-24.16,(3 - 9),(3 - 9),Conference USA,West,utsa,True
110,Army,1385.12,2015,1612.44,Navy,(21 - **17**) L,-4.31,(2 - 10),(0 - 10),FBS Independents,,army,True
111,UNLV,1384.09,2015,1562.48,Wyoming,(35 - **28**) L,-21.37,(3 - 9),(2 - 9),Mountain West,West,unlv,True
112,Kent State,1371.2,2015,1578.16,Akron,(20 - **0**) L,-15.88,(3 - 9),(2 - 9),Mid-American,East,,True
113,Tulane,1367.86,2015,1586.13,Tulsa,(**34** - 45) L,-22.22,(3 - 9),(1 - 9),American Athletic,West,tulane,True
114,Oregon State,1366.98,2015,1619.35,Oregon,(52 - **42**) L,-5.0,(2 - 10),(0 - 10),Pac-12,North,oregonstate,True
115,UMass,1364.86,2015,1486.74,Buffalo,(26 - **31**) W,23.68,(3 - 9),(2 - 9),Mid-American,East,,True
116,Miami (OH),1360.28,2015,1554.97,UMass,(13 - **20**) W,22.65,(3 - 9),(2 - 9),Mid-American,East,,True
117,Purdue,1359.59,2015,1632.54,Indiana,(**36** - 54) L,-22.66,(2 - 10),(1 - 10),Big Ten,West,purdue,True
118,Wyoming,1356.16,2015,1580.28,UNLV,(**35** - 28) W,21.37,(2 - 10),(2 - 10),Mountain West,Mountain,wyoming,True
119,Idaho,1355.19,2015,1539.41,Texas State,(**38** - 31) W,22.61,(4 - 8),(3 - 8),Sun Belt,,idaho,True
120,SMU,1353.07,2015,1620.04,Memphis,(63 - **0**) L,-12.15,(2 - 10),(1 - 10),American Athletic,West,smu,True
121,UCF,1336.23,2015,1577.98,South Florida,(**3** - 44) L,-17.67,(0 - 12),(0 - 12),American Athletic,East,ucf,True
122,Louisiana Monroe,1334.59,2015,1543.49,New Mexico State,(**42** - 35) W,19.9,(2 - 11),(1 - 11),Sun Belt,,ulm,True
123,New Mexico State,1333.5,2015,1496.89,Louisiana Monroe,(42 - **35**) L,-19.9,(3 - 9),(3 - 9),Sun Belt,,newmexicostate,True
124,North Texas,1328.05,2015,1592.01,UTEP,(**17** - 20) L,-12.1,(1 - 11),(1 - 11),Conference USA,West,northtexas,True
125,Charlotte,1325.9,2015,1529.11,Rice,(27 - **7**) L,-19.54,(2 - 10),(0 - 10),Conference USA,East,charlotte,True
126,Hawai'i,1324.92,2015,1549.12,Louisiana Monroe,(**28** - 26) W,9.78,(3 - 10),(0 - 10),Mountain West,West,,True
127,Kansas,1286.19,2015,1646.7,Kansas State,(**14** - 45) L,-17.01,(0 - 12),(0 - 12),Big 12,,kansas,True
128,Eastern Michigan,1257.11,2015,1515.69,Central Michigan,(35 - **28**) L,-5.32,(1 - 11),(0 - 11),Mid-American,West,easternmichigan,True
