game_id,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
23,0,Mid-American,2711,"[7, 0, 7, 0]",14,0.03537431973559324,Western Michigan,False,,Big Ten,127,"[7, 21, 7, 3]",38,0.9646256802644068,Michigan State,302470127,False,2010,regular,2010-09-04T12:00:00.000Z,,Spartan Stadium,3936.0,1
24,0,,2197,"[0, 7, 0, 0]",7,0.007183544999586844,Eastern Illinois,False,,Big Ten,2294,"[21, 7, 2, 7]",37,0.9928164550004132,Iowa,302472294,False,2010,regular,2010-09-04T12:05:00.000Z,,Kinnick Stadium,3793.0,1
25,0,Sun Belt,309,"[0, 7, 0, 0]",7,0.00024242119395878614,Louisiana,False,,SEC,61,"[7, 24, 17, 7]",55,0.9997575788060412,Georgia,302470061,False,2010,regular,2010-09-04T12:21:00.000Z,,Sanford Stadium,3917.0,1
26,0,Big Ten,356,"[3, 10, 0, 0]",13,0.01671621365701703,Illinois,False,,Big 12,142,"[0, 3, 7, 13]",23,0.983283786342983,Missouri,302470142,True,2010,regular,2010-09-04T12:30:00.000Z,,,,1
27,0,,2569,"[3, 0, 7, 0]",10,0.03837250993456354,South Carolina State,False,,ACC,59,"[7, 13, 14, 7]",41,0.9616274900654365,Georgia Tech,302470059,False,2010,regular,2010-09-04T13:00:00.000Z,,Bobby Dodd Stadium at Historic Grant Field,721.0,1
28,0,,2692,"[3, 7, 3, 7]",20,,Weber State,False,,ACC,103,"[14, 17, 7, 0]",38,,Boston College,302470103,False,2010,regular,2010-09-04T13:00:00.000Z,,Alumni Stadium,3615.0,1
29,0,,2466,"[7, 14, 0, 0]",21,0.027848966290426325,Northwestern State,False,,Mountain West,2005,"[14, 10, 28, 13]",65,0.9721510337095737,Air Force,302472005,False,2010,regular,2010-09-04T14:00:00.000Z,,Falcon Stadium,3713.0,1
30,0,Big 12,38,"[7, 10, 7, 0]",24,0.6353201087841098,Colorado,False,,Mountain West,36,"[0, 0, 0, 3]",3,0.36467989121589023,Colorado State,302470036,True,2010,regular,2010-09-04T14:00:00.000Z,,,,1
31,0,Big 12,251,"[0, 24, 7, 3]",34,0.30673803371970465,Texas,False,,Conference USA,242,"[3, 7, 0, 7]",17,0.6932619662802953,Rice,302470242,True,2010,regular,2010-09-04T15:30:00.000Z,,,,1
32,0,Sun Belt,249,"[0, 7, 0, 3]",10,0.529937246970777,North Texas,False,,ACC,228,"[7, 14, 7, 7]",35,0.470062753029223,Clemson,302470228,False,2010,regular,2010-09-04T15:30:00.000Z,,Memorial Stadium,3836.0,1
33,0,Pac-10,26,"[0, 10, 3, 9]",22,0.5196944779065782,UCLA,False,,Big 12,2306,"[7, 0, 10, 14]",31,0.4803055220934218,Kansas State,302472306,False,2010,regular,2010-09-04T15:30:00.000Z,,Bill Snyder Family Football Stadium,3636.0,1
34,0,,324,"[0, 0, 0, 0]",0,0.05135234241516651,Coastal Carolina,False,,Big East,277,"[7, 3, 14, 7]",31,0.9486476575848335,West Virginia,302470277,False,2010,regular,2010-09-04T15:30:00.000Z,,Mountaineer Field at Milan Puskar Stadium,3842.0,1
35,0,,55,"[7, 3, 3, 21, 7, 8]",49,0.11947845973010107,Jacksonville State,False,,SEC,145,"[14, 17, 0, 3, 7, 7]",48,0.8805215402698989,Ole Miss,302470145,False,2010,regular,2010-09-04T15:30:00.000Z,,Vaught-Hemingway Stadium,3974.0,1
36,0,Big Ten,2509,"[0, 3, 0, 9]",12,0.10409457456127735,Purdue,False,,FBS Independents,87,"[7, 6, 7, 3]",23,0.8959054254387226,Notre Dame,302470087,False,2010,regular,2010-09-04T15:30:00.000Z,,Notre Dame Stadium,3855.0,1
37,0,SEC,96,"[13, 7, 3, 0]",23,0.7118422617437953,Kentucky,False,,Big East,97,"[0, 6, 7, 3]",16,0.2881577382562047,Louisville,302470097,False,2010,regular,2010-09-04T15:30:00.000Z,,Papa John's Cardinal Stadium,3873.0,1
38,0,Big East,41,"[0, 10, 0, 0]",10,0.1269737565918112,Connecticut,False,,Big Ten,130,"[14, 7, 3, 6]",30,0.8730262434081888,Michigan,302470130,False,2010,regular,2010-09-04T15:30:00.000Z,,Michigan Stadium,3558.0,1
39,0,Mountain West,167,"[0, 0, 0, 0]",0,0.00010876828521610982,New Mexico,True,,Pac-10,2483,"[28, 31, 6, 7]",72,0.9998912317147839,Oregon,302472483,False,2010,regular,2010-09-04T15:30:00.000Z,,Autzen Stadium,3626.0,1
40,0,,302,"[0, 0, 3, 0]",3,9.614885463438139e-05,UC Davis,False,,Pac-10,25,"[7, 28, 14, 3]",52,0.9999038511453656,California,302470025,False,2010,regular,2010-09-04T16:00:00.000Z,,California Memorial Stadium,3831.0,1
41,0,,2717,"[7, 0, 0, 0]",7,0.00047206372525343543,Western Carolina,False,,ACC,152,"[14, 17, 17, 0]",48,0.9995279362747466,NC State,302470152,False,2010,regular,2010-09-04T18:00:00.000Z,,Carter-Finley Stadium,3670.0,1
