,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
0,49112,,2571,"[0, 7, 14, 0]",21,0.2920986697625578,South Dakota State,False,4.590705268,Big Ten,135,"[0, 13, 7, 8]",28,0.7079013302374422,Minnesota,401112229,False,2019,regular,2019-08-30T01:00:00.000Z,,TCF Bank Stadium,3953,1
1,72005,American Athletic,202,"[0, 7, 0, 0]",7,0.016136818752839677,Tulsa,False,0.6125123066,Big Ten,127,"[7, 18, 3, 0]",28,0.9838631812471603,Michigan State,401112212,False,2019,regular,2019-08-30T23:00:00.000Z,,Spartan Stadium,3936,1
2,40515,FBS Independents,113,"[21, 0, 0, 0]",21,0.002216992033736598,UMass,False,3.34314662149999,Big Ten,164,"[7, 31, 3, 7]",48,0.9977830079662634,Rutgers,401112264,False,2019,regular,2019-08-30T23:15:00.000Z,,High Point Solutions Stadium,3754,1
3,46704,Big Ten,275,"[7, 21, 14, 7]",49,0.9965654194601616,Wisconsin,False,1.4561181358,American Athletic,58,"[0, 0, 0, 0]",0,0.0034345805398384114,South Florida,401117856,False,2019,regular,2019-08-30T23:55:00.000Z,,Raymond James Stadium,3886,1
4,20144,Big Ten,2509,"[10, 14, 7, 0]",31,0.17408037875647764,Purdue,False,5.3196804281,Mountain West,2440,"[0, 7, 10, 17]",34,0.8259196212435224,Nevada,401112262,False,2019,regular,2019-08-31T01:30:00.000Z,,Mackay Stadium,3816,1
5,103228,Conference USA,2226,"[0, 3, 3, 15]",21,0.0007510373585016827,Florida Atlantic,False,0.1900220523,Big Ten,194,"[28, 0, 7, 10]",45,0.9992489626414983,Ohio State,401112251,False,2019,regular,2019-08-31T16:00:00.000Z,,Ohio Stadium,3861,1
6,32761,,47,"[0, 0, 0, 0]",0,3.31068411207891e-06,Howard,False,0.192947083,Big Ten,120,"[28, 28, 16, 7]",79,0.9999966893158879,Maryland,401112201,False,2019,regular,2019-08-31T16:00:00.000Z,,Maryland Stadium,3665,1
7,21437,Big Ten,84,"[10, 6, 7, 11]",34,0.9476675961727872,Indiana,False,3.5717794139,Mid-American,2050,"[3, 7, 7, 7]",24,0.052332403827212784,Ball State,401112157,True,2019,regular,2019-08-31T16:00:00.000Z,,Lucas Oil Stadium,3812,1
8,30654,Mid-American,2006,"[3, 0, 0, 0]",3,1.4375453163961716e-05,Akron,False,0.5276152521,Big Ten,356,"[14, 14, 14, 0]",42,0.999985624546836,Illinois,401112145,False,2019,regular,2019-08-31T16:00:00.000Z,,Memorial Stadium,3832,1
9,89502,Sun Belt,6,"[7, 0, 14, 0]",21,0.09621141441978509,South Alabama,False,0.772485991899999,Big Ten,158,"[7, 7, 14, 7]",35,0.9037885855802149,Nebraska,401112238,False,2019,regular,2019-08-31T16:00:00.000Z,,Memorial Stadium,3834,1
