,_season,_week,_season_type,_start_date,_neutral_site,_conference_game,_home_team,_home_points,_away_team,_away_points,home_recent_week,home_elo,away_recent_week,away_elo,home_expected,away_expected,mov_multiplier,new_home_elo,new_away_elo,home_elo_change,away_elo_change,predicted_home_win,predicted_away_win,correct_prediction,home_won,away_won,played,home_fbs,away_fbs,fbs_count
0,2019.0,1.0,regular,2019-08-24T23:00:00.000Z,True,False,Florida,24.0,Miami,20.0,0,1634.6313846153846,0,1572.7810769230769,0.6291875263004678,0.3708124736995321,1.6559941617247085,1649.3689036123715,1558.04355792609,14.737518996986864,-14.737518996986864,True,False,True,True,False,True,True,True,2
1,2019.0,1.0,regular,2019-08-25T02:30:00.000Z,False,False,Hawai'i,45.0,Arizona,38.0,0,1477.4246153846154,0,1532.3684615384616,0.46416446889386664,0.5358355311061332,2.028773975679534,1503.5147557226765,1506.2783212004006,26.09014033806102,-26.09014033806102,False,True,False,True,False,True,True,True,2
2,2019.0,1.0,regular,2019-08-29T23:00:00.000Z,False,False,Buffalo,38.0,Robert Morris,10.0,0,1563.924923076923,0,2010,0.08354552701289616,0.9164544729871038,2.7996374292540906,1625.5026889516917,1948.4222341252314,61.5777658747686,-61.5777658747686,False,True,False,True,False,True,True,False,1
3,2019.0,1.0,regular,2019-08-29T23:00:00.000Z,False,False,Cincinnati,24.0,UCLA,14.0,0,1594.0001538461538,0,1470.2995384615385,0.70781009180958,0.2921899081904199,2.540755749987196,1611.8173503899068,1452.4823419177856,17.81719654375297,-17.81719654375297,True,False,True,True,False,True,True,True,2
4,2019.0,1.0,regular,2019-08-29T23:00:00.000Z,False,False,Connecticut,24.0,Wagner,21.0,0,1388.1447692307693,0,2010,0.032077642617136234,0.9679223573828638,1.080795202109776,1413.2517893877496,1984.8929798430197,25.107020156980298,-25.107020156980298,False,True,False,True,False,True,True,False,1
5,2019.0,1.0,regular,2019-08-29T23:00:00.000Z,False,False,Bowling Green,46.0,Morgan State,3.0,0,1434.0272307692308,0,2010,0.041373065806651003,0.9586269341933489,2.999026967014204,1503.0259834160788,1941.001247353152,68.99875264684806,-68.99875264684806,False,True,False,True,False,True,True,False,1
6,2019.0,1.0,regular,2019-08-29T23:30:00.000Z,False,False,Western Kentucky,28.0,Central Arkansas,35.0,0,1475.176,0,2010,0.051857730733160266,0.9481422692668398,2.7473200380594234,1471.7567252134838,2013.419274786516,-3.419274786516098,3.419274786516098,False,True,True,False,True,True,True,False,1
7,2019.0,1.0,regular,2019-08-29T23:30:00.000Z,False,False,Charlotte,49.0,Gardner-Webb,28.0,0,1460.5332307692308,0,2010,0.047866421253474026,0.952133578746526,2.4733135433714826,1517.0514277791317,1953.481802990099,56.51819700990086,-56.51819700990109,False,True,False,True,False,True,True,False,1
8,2019.0,1.0,regular,2019-08-29T23:30:00.000Z,False,False,UCF,62.0,Florida A&M,0.0,0,1664.4076923076923,0,2010,0.13983087648765027,0.8601691235123498,3.5806583680025454,1738.327014787738,1936.0806775199542,73.91932248004582,-73.91932248004582,False,True,False,True,False,True,True,False,1
9,2019.0,1.0,regular,2019-08-30T00:00:00.000Z,False,True,Clemson,52.0,Georgia Tech,14.0,0,1745.8709230769232,0,1552.6595384615384,0.7832840712700646,0.2167159287299353,4.01628530264534,1766.7603550626955,1531.7701064757662,20.889431985772262,-20.889431985772262,True,False,True,True,False,True,True,True,2
