,year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
68,2020,San Diego State,Mountain West,West,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
69,2020,San José State,Mountain West,West,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
70,2020,SMU,American Athletic,West,6,5,1,0,3,2,1,0,3,2,1,0,3,3,0,0
71,2020,South Alabama,Sun Belt,,5,3,2,0,2,2,0,0,4,2,2,0,1,1,0,0
72,2020,South Carolina,SEC,East,5,2,3,0,5,2,3,0,2,1,1,0,3,1,2,0
73,2020,Southern Mississippi,Conference USA,West,5,1,4,0,2,1,1,0,3,0,3,0,2,1,1,0
74,2020,South Florida,American Athletic,East,6,1,5,0,4,0,4,0,3,1,2,0,3,0,3,0
75,2020,Syracuse,ACC,Atlantic,6,1,5,0,5,1,4,0,3,1,2,0,3,0,3,0
76,2020,TCU,Big 12,,4,1,3,0,4,1,3,0,3,0,3,0,1,1,0,0
77,2020,Temple,American Athletic,East,3,1,2,0,3,1,2,0,1,1,0,0,2,0,2,0
78,2020,Tennessee,SEC,East,5,2,3,0,5,2,3,0,3,1,2,0,2,1,1,0
79,2020,Texas,Big 12,,5,3,2,0,4,2,2,0,3,2,1,0,1,1,0,0
80,2020,Texas A&M,SEC,West,4,3,1,0,4,3,1,0,2,2,0,0,2,1,1,0
81,2020,Texas State,Sun Belt,,7,1,6,0,3,1,2,0,2,0,2,0,5,1,4,0
82,2020,Texas Tech,Big 12,,5,2,3,0,4,1,3,0,3,2,1,0,2,0,2,0
83,2020,Troy,Sun Belt,,5,3,2,0,2,1,1,0,3,2,1,0,2,1,1,0
84,2020,Tulane,American Athletic,West,6,2,4,0,4,0,4,0,2,0,2,0,4,2,2,0
85,2020,Tulsa,American Athletic,West,3,2,1,0,2,2,0,0,0,0,0,0,3,2,1,0
86,2020,UAB,Conference USA,West,6,4,2,0,2,2,0,0,4,3,1,0,2,1,1,0
87,2020,UCF,American Athletic,East,5,3,2,0,4,2,2,0,2,1,1,0,3,2,1,0
88,2020,UMass,FBS Independents,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
89,2020,UNLV,Mountain West,West,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
90,2020,Utah State,Mountain West,Mountain,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
91,2020,UTEP,Conference USA,West,6,3,3,0,2,0,2,0,2,2,0,0,4,1,3,0
92,2020,UT San Antonio,Conference USA,West,7,4,3,0,2,1,1,0,4,3,1,0,3,1,2,0
93,2020,Vanderbilt,SEC,East,3,0,3,0,3,0,3,0,2,0,2,0,1,0,1,0
94,2020,Virginia,ACC,Coastal,5,1,4,0,5,1,4,0,2,1,1,0,3,0,3,0
95,2020,Virginia Tech,ACC,Coastal,5,3,2,0,5,3,2,0,2,2,0,0,3,1,2,0
96,2020,Wake Forest,ACC,Atlantic,5,3,2,0,4,2,2,0,4,3,1,0,1,0,1,0
97,2020,Western Kentucky,Conference USA,East,6,2,4,0,3,1,2,0,3,1,2,0,3,1,2,0
98,2020,West Virginia,Big 12,,5,3,2,0,4,2,2,0,3,3,0,0,2,0,2,0
99,2020,Wisconsin,Big Ten,West,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
100,2020,Wyoming,Mountain West,Mountain,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
