Duquesne,1371.03,NEC,FALSE
Massachusetts,1370.99,Independent,FALSE
Stony Brook,1369.17,CAA,FALSE
Maine,1367.88,CAA,FALSE
Drake,1361.26,Pioneer,FALSE
Arkansas,1359.56,SEC West,TRUE
Bowling Green,1359.16,MAC East,FALSE
Ball St,1357.95,MAC West,FALSE
Louisiana Tech,1357.52,CUSA West,FALSE
Akron,1357.1,MAC East,FALSE
Towson,1354.41,CAA,FALSE
Samford,1353.45,Southern,FALSE
Kent St,1351.58,MAC East,FALSE
South Alabama,1351.48,Sun Belt West,FALSE
Sacred Heart,1348.14,NEC,FALSE
Lamar,1347.37,Southland,FALSE
Southern U.,1347.17,SWAC West,FALSE
New Mexico St,1344.86,Independent,FALSE
Dayton,1341.53,Pioneer,FALSE
Stetson,1341.49,Pioneer,FALSE
Illinois St,1341.37,MVFC,FALSE
Northern Iowa,1338.83,MVFC,FALSE
Southern Miss,1338.47,CUSA West,FALSE
Furman,1337.6,Southern,FALSE
Georgia St,1336.51,Sun Belt East,FALSE
Central Conn St,1335.98,NEC,FALSE
Rutgers,1335.96,Big 10 East,TRUE
Central Arkansas,1331.53,Southland,FALSE
Indiana St,1331.05,MVFC,FALSE
Colorado St,1330.26,MW Mountain,FALSE
Oregon St,1328.03,PAC 12 North,TRUE
Montana St,1325.99,Big Sky,FALSE
Abilene Christian,1325.9,Southland,FALSE
Florida Atlantic,1325.11,CUSA East,FALSE
Louisville,1321.19,ACC Atlantic,TRUE
Incarnate Word,1320.1,Southland,FALSE
The Citadel,1319.04,Southern,FALSE
Central Michigan,1318.65,MAC West,FALSE
Alabama A&M,1317.31,SWAC East,FALSE
Delaware,1316.75,CAA,FALSE
Montana,1314.25,Big Sky,FALSE
Elon,1312.6,CAA,FALSE
Rhode Island,1311.87,CAA,FALSE
North Alabama,1306.47,Big South,FALSE
Grambling St,1306.2,SWAC West,FALSE
Columbia,1304.82,Ivy League,FALSE
Hampton,1303.55,Big South,FALSE
Western Illinois,1303.07,MVFC,FALSE
Prairie View A&M,1301.31,SWAC West,FALSE
Yale,1301.28,Ivy League,FALSE
Chattanooga,1300.26,Southern,FALSE
East Tennessee St,1296.79,Southern,FALSE
Eastern Kentucky,1294.59,OVC,FALSE
Idaho St,1293.03,Big Sky,FALSE
Villanova,1292.99,CAA,FALSE
Pennsylvania,1292.38,Ivy League,FALSE
Florida A&M,1290.31,MEAC,FALSE
Not FBS,1288.24,FCS,FALSE
Sam Houston St,1286.84,Southland,FALSE
Campbell,1286.38,Big South,FALSE
Mercer,1286.17,Southern,FALSE
South Carolina St,1285.53,MEAC,FALSE
Austin Peay,1283.95,OVC,FALSE
Howard,1282.54,MEAC,FALSE
Cal Poly SLO,1281.39,Big Sky,FALSE
Marist,1280.52,Pioneer,FALSE
St Francis PA,1280.47,NEC,FALSE
New Hampshire,1280.22,CAA,FALSE
Bethune-Cookman,1278.22,MEAC,FALSE
Davidson,1277.8,Pioneer,FALSE
Connecticut,1274.45,AAC East,FALSE
Youngstown St,1268.78,MVFC,FALSE
Holy Cross,1266.92,Patriot,FALSE
McNeese St,1266.25,Southland,FALSE
North Carolina Central,1261.36,MEAC,FALSE
Charleston Southern,1261.27,Big South,FALSE
Georgetown DC,1258.3,Patriot,FALSE
Murray St,1253.97,OVC,FALSE
UNC-Charlotte,1250.49,CUSA East,FALSE
SE Louisiana,1249.26,Southland,FALSE
Tennessee St,1248.59,OVC,FALSE
Morgan St,1245.35,MEAC,FALSE
South Dakota,1242.21,MVFC,FALSE
Western Kentucky,1238.16,CUSA East,FALSE
Jackson St,1234.25,SWAC East,FALSE
Portland St,1233.8,Big Sky,FALSE
William & Mary,1233.16,CAA,FALSE
Northwestern St,1231.87,Southland,FALSE
Idaho,1230.16,Big Sky,FALSE
Old Dominion,1230.06,CUSA East,FALSE
Cornell NY,1226.93,Ivy League,FALSE
Eastern Illinois,1224.22,OVC,FALSE
Northern Arizona,1219.05,Big Sky,FALSE
Tennessee-Martin,1217.55,OVC,FALSE
Southern Illinois,1214.9,MVFC,FALSE
Richmond,1209.72,CAA,FALSE
Wagner,1206.98,NEC,FALSE
Missouri St,1200.18,MVFC,FALSE
Gardner-Webb,1197.08,Big South,FALSE
Delaware St,1193.14,MEAC,FALSE
Norfolk St,1192.99,MEAC,FALSE
Albany NY,1190.76,CAA,FALSE
Bryant,1190.4,NEC,FALSE
Texas-San Antonio,1188.39,CUSA West,FALSE
Butler,1181.65,Pioneer,FALSE
Lehigh,1176.96,Patriot,FALSE
Valparaiso,1173.67,Pioneer,FALSE
Western Carolina,1167.03,Southern,FALSE
Alabama St,1165.56,SWAC East,FALSE
Fordham,1164.54,Patriot,FALSE
Stephen F. Austin,1163.64,Southland,FALSE
Morehead St,1159.51,Pioneer,FALSE
Rice,1159.19,CUSA West,FALSE
Northern Colorado,1157.5,Big Sky,FALSE
Jacksonville FL,1153.43,Pioneer,FALSE
Lafayette,1151.46,Patriot,FALSE
Arkansas-Pine Bluff,1148.63,SWAC West,FALSE
Presbyterian,1148,Big South,FALSE
Texas Southern,1144.63,SWAC West,FALSE
Southern Utah,1140.46,Big Sky,FALSE
Sacramento St,1136.74,Big Sky,FALSE
UTEP,1131.07,CUSA West,FALSE
Brown,1129.42,Ivy League,FALSE
VMI,1123.47,Southern,FALSE
Robert Morris PA,1120.28,NEC,FALSE
Missouri Valley,1117.5,SWAC East,FALSE
Bucknell,1104.71,Patriot,FALSE
Houston Baptist,1103.11,Southland,FALSE
Tennessee Tech,1076.52,OVC,FALSE
Not D1,1100,CFB,FALSE
