Indiana,1445.79,Big 10 East,TRUE,Indiana,True
Mississippi,1445.03,SEC West,TRUE,REPLACE_ME,True
North Carolina A&T,1444.97,MEAC,FALSE,REPLACE_ME,False
Florida St,1443.25,ACC Atlantic,TRUE,REPLACE_ME,True
Hawai`i,1438.71,MW West,FALSE,Hawaii,True
SMU,1438.18,AAC West,FALSE,SMU,True
Colorado,1437.4,PAC 12 South,TRUE,Colorado,True
Alabama-Birmingham,1436.2,CUSA West,FALSE,REPLACE_ME,True
North Texas,1427.54,CUSA West,FALSE,REPLACE_ME,True
Weber St,1426.63,Big Sky,FALSE,REPLACE_ME,False
Colgate,1422.98,Patriot,FALSE,REPLACE_ME,False
UNLV,1418.05,MW West,FALSE,UNLV,True
UC-Davis,1412.21,Big Sky,FALSE,REPLACE_ME,False
Marshall,1410.75,CUSA East,FALSE,Marshall,True
Nicholls St,1409.05,Southland,FALSE,REPLACE_ME,False
Wofford,1402.41,Southern,FALSE,REPLACE_ME,False
Alcorn St,1401.49,SWAC East,FALSE,REPLACE_ME,False
Coastal Carolina,1398.84,Sun Belt East,FALSE,Coastal Carolina,True
UCLA,1398.35,PAC 12 South,TRUE,UCLA,True
Illinois,1397.73,Big 10 West,TRUE,Illinois,True
Florida Int'l,1395.29,CUSA East,FALSE,Florida International,True
Navy,1395.05,AAC West,FALSE,Navy,True
Kansas,1393.85,Big 12,TRUE,Kansas,True
SE Missouri St,1393.68,OVC,FALSE,REPLACE_ME,False
Texas St-San Marcos,1391.17,Sun Belt West,FALSE,Texas State,True
North Carolina,1387.32,ACC Coastal,TRUE,REPLACE_ME,True
Tulsa,1383.32,AAC West,FALSE,REPLACE_ME,True
Jacksonville St,1380.09,OVC,FALSE,REPLACE_ME,False
San Diego,1379.84,Pioneer,FALSE,REPLACE_ME,False
New Mexico,1378.66,MW Mountain,FALSE,New Mexico,True
Middle Tennessee St,1378.26,CUSA East,FALSE,Middle Tenn State,True
Monmouth NJ,1377.92,Big South,FALSE,REPLACE_ME,False
East Carolina,1377.44,AAC East,FALSE,East Carolina,True
LIU Post,1375.28,NEC,FALSE,REPLACE_ME,False
Harvard,1374.04,Ivy League,FALSE,REPLACE_ME,False
Duquesne,1371.03,NEC,FALSE,REPLACE_ME,False
Massachusetts,1370.99,Independent,FALSE,Massachusetts,True
Stony Brook,1369.17,CAA,FALSE,REPLACE_ME,False
Maine,1367.88,CAA,FALSE,REPLACE_ME,False
Drake,1361.26,Pioneer,FALSE,REPLACE_ME,False
Arkansas,1359.56,SEC West,TRUE,Arkansas,True
Bowling Green,1359.16,MAC East,FALSE,Bowling Green,True
Ball St,1357.95,MAC West,FALSE,Ball State,True
Louisiana Tech,1357.52,CUSA West,FALSE,REPLACE_ME,True
Akron,1357.1,MAC East,FALSE,Akron,True
Towson,1354.41,CAA,FALSE,REPLACE_ME,False
Samford,1353.45,Southern,FALSE,REPLACE_ME,False
Kent St,1351.58,MAC East,FALSE,Kent State,True
South Alabama,1351.48,Sun Belt West,FALSE,REPLACE_ME,True
Sacred Heart,1348.14,NEC,FALSE,REPLACE_ME,False
Lamar,1347.37,Southland,FALSE,REPLACE_ME,False
Southern U.,1347.17,SWAC West,FALSE,REPLACE_ME,False
New Mexico St,1344.86,Independent,FALSE,New Mexico State,True
Dayton,1341.53,Pioneer,FALSE,REPLACE_ME,False
Stetson,1341.49,Pioneer,FALSE,REPLACE_ME,False
Illinois St,1341.37,MVFC,FALSE,REPLACE_ME,False
Northern Iowa,1338.83,MVFC,FALSE,REPLACE_ME,False
Southern Miss,1338.47,CUSA West,FALSE,Southern Miss,True
Furman,1337.6,Southern,FALSE,REPLACE_ME,False
Georgia St,1336.51,Sun Belt East,FALSE,REPLACE_ME,True
Central Conn St,1335.98,NEC,FALSE,REPLACE_ME,False
Rutgers,1335.96,Big 10 East,TRUE,Rutgers,True
Central Arkansas,1331.53,Southland,FALSE,REPLACE_ME,False
Indiana St,1331.05,MVFC,FALSE,REPLACE_ME,False
Colorado St,1330.26,MW Mountain,FALSE,Colorado State,True
Oregon St,1328.03,PAC 12 North,TRUE,Oregon State,True
Montana St,1325.99,Big Sky,FALSE,REPLACE_ME,False
Abilene Christian,1325.9,Southland,FALSE,REPLACE_ME,False
Florida Atlantic,1325.11,CUSA East,FALSE,Florida Atlantic,True
Louisville,1321.19,ACC Atlantic,TRUE,Louisville,True
Incarnate Word,1320.1,Southland,FALSE,REPLACE_ME,False
The Citadel,1319.04,Southern,FALSE,REPLACE_ME,False
Central Michigan,1318.65,MAC West,FALSE,REPLACE_ME,True
Alabama A&M,1317.31,SWAC East,FALSE,REPLACE_ME,False
Delaware,1316.75,CAA,FALSE,REPLACE_ME,False
Montana,1314.25,Big Sky,FALSE,REPLACE_ME,False
Elon,1312.6,CAA,FALSE,REPLACE_ME,False
Rhode Island,1311.87,CAA,FALSE,REPLACE_ME,False
North Alabama,1306.47,Big South,FALSE,REPLACE_ME,False
Grambling St,1306.2,SWAC West,FALSE,REPLACE_ME,False
Columbia,1304.82,Ivy League,FALSE,REPLACE_ME,False
Hampton,1303.55,Big South,FALSE,REPLACE_ME,False
Western Illinois,1303.07,MVFC,FALSE,REPLACE_ME,False
Prairie View A&M,1301.31,SWAC West,FALSE,REPLACE_ME,False
Yale,1301.28,Ivy League,FALSE,REPLACE_ME,False
Chattanooga,1300.26,Southern,FALSE,REPLACE_ME,False
East Tennessee St,1296.79,Southern,FALSE,REPLACE_ME,False
Eastern Kentucky,1294.59,OVC,FALSE,REPLACE_ME,False
Idaho St,1293.03,Big Sky,FALSE,REPLACE_ME,False
Villanova,1292.99,CAA,FALSE,REPLACE_ME,False
Pennsylvania,1292.38,Ivy League,FALSE,REPLACE_ME,False
Florida A&M,1290.31,MEAC,FALSE,REPLACE_ME,False
Not FBS,1288.24,FCS,FALSE,REPLACE_ME,False
Sam Houston St,1286.84,Southland,FALSE,REPLACE_ME,False
Campbell,1286.38,Big South,FALSE,REPLACE_ME,False
Mercer,1286.17,Southern,FALSE,REPLACE_ME,False
South Carolina St,1285.53,MEAC,FALSE,REPLACE_ME,False
Austin Peay,1283.95,OVC,FALSE,REPLACE_ME,False
Howard,1282.54,MEAC,FALSE,REPLACE_ME,False
Cal Poly SLO,1281.39,Big Sky,FALSE,REPLACE_ME,False
Marist,1280.52,Pioneer,FALSE,REPLACE_ME,False
St Francis PA,1280.47,NEC,FALSE,REPLACE_ME,False
New Hampshire,1280.22,CAA,FALSE,REPLACE_ME,False
Bethune-Cookman,1278.22,MEAC,FALSE,REPLACE_ME,False
Davidson,1277.8,Pioneer,FALSE,REPLACE_ME,False
Connecticut,1274.45,AAC East,FALSE,Connecticut,True
Youngstown St,1268.78,MVFC,FALSE,REPLACE_ME,False
Holy Cross,1266.92,Patriot,FALSE,REPLACE_ME,False
McNeese St,1266.25,Southland,FALSE,REPLACE_ME,False
North Carolina Central,1261.36,MEAC,FALSE,REPLACE_ME,False
Charleston Southern,1261.27,Big South,FALSE,REPLACE_ME,False
Georgetown DC,1258.3,Patriot,FALSE,REPLACE_ME,False
Murray St,1253.97,OVC,FALSE,REPLACE_ME,False
UNC-Charlotte,1250.49,CUSA East,FALSE,Charlotte,True
SE Louisiana,1249.26,Southland,FALSE,REPLACE_ME,False
Tennessee St,1248.59,OVC,FALSE,REPLACE_ME,False
Morgan St,1245.35,MEAC,FALSE,REPLACE_ME,False
South Dakota,1242.21,MVFC,FALSE,REPLACE_ME,False
Western Kentucky,1238.16,CUSA East,FALSE,Western Kentucky,True
Jackson St,1234.25,SWAC East,FALSE,REPLACE_ME,False
Portland St,1233.8,Big Sky,FALSE,REPLACE_ME,False
William & Mary,1233.16,CAA,FALSE,REPLACE_ME,False
Northwestern St,1231.87,Southland,FALSE,REPLACE_ME,False
Idaho,1230.16,Big Sky,FALSE,REPLACE_ME,False
Old Dominion,1230.06,CUSA East,FALSE,Old Dominion,True
Cornell NY,1226.93,Ivy League,FALSE,REPLACE_ME,False
Eastern Illinois,1224.22,OVC,FALSE,REPLACE_ME,False
Northern Arizona,1219.05,Big Sky,FALSE,REPLACE_ME,False
Tennessee-Martin,1217.55,OVC,FALSE,REPLACE_ME,False
Southern Illinois,1214.9,MVFC,FALSE,REPLACE_ME,False
Richmond,1209.72,CAA,FALSE,REPLACE_ME,False
Wagner,1206.98,NEC,FALSE,REPLACE_ME,False
Missouri St,1200.18,MVFC,FALSE,REPLACE_ME,False
Gardner-Webb,1197.08,Big South,FALSE,REPLACE_ME,False
Delaware St,1193.14,MEAC,FALSE,REPLACE_ME,False
Norfolk St,1192.99,MEAC,FALSE,REPLACE_ME,False
Albany NY,1190.76,CAA,FALSE,REPLACE_ME,False
Bryant,1190.4,NEC,FALSE,REPLACE_ME,False
Texas-San Antonio,1188.39,CUSA West,FALSE,Texas-San Antonio,True
