,_season,_week,_season_type,_start_date,_neutral_site,_conference_game,_home_team,_home_points,_away_team,_away_points,home_recent_week,home_elo,away_recent_week,away_elo,home_expected,away_expected,mov_multiplier,new_home_elo,new_away_elo,home_elo_change,away_elo_change,predicted_home_win,predicted_away_win,correct_prediction,home_won,away_won,played,home_fbs,away_fbs,fbs_count
0,2012.0,1.0,regular,2012-08-30T19:00:00.000Z,False,True,Vanderbilt,13.0,South Carolina,17.0,0,1507.838923076923,0,1607.2866153846153,0.4013668676538107,0.5986331323461892,1.6856344849821647,1494.984324245239,1620.1412142162994,-12.854598831684143,12.854598831684143,False,True,True,False,True,True,True,True,2
1,2012.0,1.0,regular,2012-08-30T19:00:00.000Z,False,False,Akron,14.0,UCF,56.0,0,1394.0473846153845,0,1529.4416923076924,0.35281270385805513,0.6471872961419448,4.007855003672368,1367.1809635655675,1556.3081133575095,-26.866421049817063,26.866421049817063,False,True,True,False,True,True,True,True,2
2,2012.0,1.0,regular,2012-08-30T19:00:00.000Z,False,True,Ball State,37.0,Eastern Michigan,26.0,0,1480.9135384615386,0,1484.0723076923077,0.5385509710758399,0.46144902892416,2.481343925768149,1502.6687996160174,1462.317046537829,21.75526115447883,-21.75526115447883,True,False,True,True,False,True,True,True,2
3,2012.0,1.0,regular,2012-08-30T19:00:00.000Z,False,False,Central Michigan,38.0,Southeast Missouri State,27.0,0,1445.3372307692307,0,2010,0.04403374655719205,0.9559662534428081,1.9773820844900605,1481.2531310849936,1974.0840996842371,35.91590031576288,-35.91590031576288,False,True,False,True,False,True,True,False,1
4,2012.0,1.0,regular,2012-08-30T19:00:00.000Z,False,False,Kent State,41.0,Towson,21.0,0,1487.0347692307694,0,2010,0.055318733221778,0.9446812667782221,2.4597998120965276,1531.1855784785007,1965.8491907522687,44.15080924773133,-44.15080924773133,False,True,False,True,False,True,True,False,1
5,2012.0,1.0,regular,2012-08-30T19:15:00.000Z,False,False,Utah,41.0,Northern Colorado,0.0,0,1547.4707692307693,0,2010,0.0765736234900216,0.9234263765099784,3.088369158616802,1601.6565185186364,1955.814250712133,54.18574928786711,-54.18574928786711,False,True,False,True,False,True,True,False,1
6,2012.0,1.0,regular,2012-08-30T19:30:00.000Z,False,False,Connecticut,37.0,UMass,0.0,0,1516.6415384615384,0,1500,0.5667222329250755,0.4332777670749244,3.6653118085607925,1546.8154026664233,1469.826135795115,30.17386420488492,-30.17386420488492,True,False,True,True,False,True,True,True,2
7,2012.0,1.0,regular,2012-08-30T19:30:00.000Z,False,False,Rice,24.0,UCLA,49.0,0,1454.6529230769231,0,1473.833076923077,0.5155659785202609,0.484434021479739,3.2867512629659035,1422.4567175870925,1506.0292824129076,-32.19620548983062,32.19620548983062,True,False,False,False,True,True,True,True,2
8,2012.0,1.0,regular,2012-08-30T19:30:00.000Z,False,False,Middle Tennessee,21.0,McNeese,27.0,0,1419.5986153846154,0,2010,0.03820151843125051,0.9617984815687495,2.659670732196013,1417.6681496351716,2011.9304657494438,-1.9304657494437834,1.9304657494437834,False,True,True,False,True,True,True,False,1
9,2012.0,1.0,regular,2012-08-30T20:00:00.000Z,False,False,New Mexico State,49.0,Sacramento State,19.0,0,1436.962923076923,0,2010,0.04204852983796433,0.9579514701620355,2.7243674138861462,1486.549346695405,1960.4135763815182,49.58642361848183,-49.58642361848183,False,True,False,True,False,True,True,False,1
10,2012.0,1.0,regular,2012-08-30T20:00:00.000Z,False,False,Utah State,34.0,Southern Utah,3.0,0,1517.5516923076923,0,2010,0.06524918384803724,0.9347508161519628,2.8318534340569923,1567.846161173135,1959.7055311345573,50.294468865442695,-50.294468865442695,False,True,False,True,False,True,True,False,1
11,2012.0,1.0,regular,2012-08-30T21:00:00.000Z,False,False,Idaho,3.0,Eastern Washington,20.0,0,1441.379846153846,0,2010,0.04308470385571583,0.9569152961442842,3.897815632798922,1438.189057741603,2013.1907884122431,-3.190788412243137,3.190788412243137,False,True,True,False,True,True,True,False,1
12,2012.0,1.0,regular,2012-08-30T22:15:00.000Z,False,False,BYU,30.0,Washington State,6.0,0,1577.5995384615385,0,1464.9501538461539,0.6944816433515544,0.3055183566484456,3.392590953583138,1597.2930159070015,1445.2566764006908,19.69347744546303,-19.69347744546303,True,False,True,True,False,True,True,True,2
13,2012.0,1.0,regular,2012-08-30T22:30:00.000Z,False,False,Arizona State,63.0,Northern Arizona,6.0,0,1523.5613846153847,0,2010,0.06739116829806639,0.9326088317019336,3.3252107723753794,1582.4826823535507,1951.078702261834,58.921297738166004,-58.921297738166004,False,True,False,True,False,True,True,False,1
14,2012.0,1.0,regular,2012-08-30T23:00:00.000Z,False,False,UNLV,27.0,Minnesota,30.0,0,1420.125076923077,0,1457.9767692307692,0.48870242967207206,0.5112975703279279,1.4105635508967032,1407.0275060670053,1471.0743400868407,-13.09757085607157,13.09757085607157,False,True,True,False,True,True,True,True,2
15,2012.0,1.0,regular,2012-08-31T19:00:00.000Z,False,False,Temple,41.0,Villanova,10.0,0,1572.9193846153846,0,2010,0.08759625160291697,0.912403748397083,2.89131054305951,1623.0421935834672,1959.8771910319174,50.12280896808261,-50.12280896808261,False,True,False,True,False,True,True,False,1
16,2012.0,1.0,regular,2012-08-31T19:30:00.000Z,True,False,Tennessee,35.0,NC State,21.0,0,1507.2723076923078,0,1567.6636923076924,0.45637449338995956,0.5436255066100405,2.6356986152814383,1534.496134597379,1540.439865402621,27.22382690507129,-27.22382690507129,False,True,False,True,False,True,True,True,2
