,_school,elo,_year,strength_of_schedule,last_played,result,elo_change,season_record,conf_record,conference,division,flair,played
1,Alabama,1803.2,2012,1606.76,Notre Dame,(**42** - 14) W,23.56,(13 - 1),(8 - 1),SEC,West,alabama,True
2,Oregon,1783.37,2012,1597.34,Kansas State,(17 - **35**) W,26.5,(12 - 1),(8 - 1),Pac-12,North,oregon,True
3,Texas A&M,1763.56,2012,1627.83,Oklahoma,(13 - **41**) W,29.65,(11 - 2),(6 - 2),SEC,West,texasam,True
4,Florida State,1755.95,2012,1621.72,Northern Illinois,(**31** - 10) W,24.65,(12 - 2),(8 - 2),ACC,Atlantic,floridastate,True
5,Georgia,1739.02,2012,1592.5,Nebraska,(31 - **45**) W,21.36,(12 - 2),(7 - 2),SEC,East,georgia,True
6,Utah State,1724.02,2012,1563.66,Toledo,(**41** - 15) W,19.95,(11 - 2),(6 - 2),Western Athletic,,,True
7,South Carolina,1712.1,2012,1597.0,Michigan,(28 - **33**) W,14.03,(11 - 2),(6 - 2),SEC,East,southcarolina,True
8,Ohio State,1706.24,2012,1537.28,Michigan,(**26** - 21) W,11.91,(12 - 0),(8 - 0),Big Ten,Leaders,ohiostate,True
9,Florida,1703.36,2012,1604.67,Louisville,(**23** - 33) L,-28.29,(11 - 2),(7 - 2),SEC,East,florida,True
10,Notre Dame,1700.12,2012,1562.94,Alabama,(42 - **14**) L,-23.56,(12 - 1),(0 - 1),FBS Independents,,notredame,True
11,San José State,1698.73,2012,1566.39,Bowling Green,(20 - **29**) W,18.87,(11 - 2),(5 - 2),Western Athletic,,,True
12,Clemson,1696.79,2012,1591.15,LSU,(**25** - 24) W,5.38,(11 - 2),(7 - 2),ACC,Atlantic,clemson,True
13,Northern Illinois,1695.32,2012,1546.33,Florida State,(31 - **10**) L,-24.65,(12 - 2),(9 - 2),Mid-American,West,northernillinois,True
14,Kansas State,1694.69,2012,1618.56,Oregon,(**17** - 35) L,-26.5,(11 - 2),(8 - 2),Big 12,,kansasstate,True
15,Stanford,1689.85,2012,1562.9,Wisconsin,(**20** - 14) W,14.07,(12 - 2),(9 - 2),Pac-12,North,stanford,True
16,Cincinnati,1681.74,2012,1608.22,Duke,(34 - **48**) W,16.29,(10 - 3),(5 - 3),Big East,,cincinnati,True
17,Arkansas State,1668.45,2012,1561.48,Kent State,(**17** - 13) W,14.04,(10 - 3),(7 - 3),Sun Belt,,arkansasstate,True
18,LSU,1664.81,2012,1600.91,Clemson,(25 - **24**) L,-5.38,(10 - 3),(6 - 3),SEC,West,lsu,True
19,Kent State,1663.12,2012,1569.84,Arkansas State,(17 - **13**) L,-14.04,(11 - 3),(8 - 3),Mid-American,East,,True
20,Boise State,1661.68,2012,1498.06,Washington,(**28** - 26) W,6.49,(11 - 2),(7 - 2),Mountain West,,,True
21,Oklahoma,1659.92,2012,1618.58,Texas A&M,(**13** - 41) L,-29.65,(10 - 3),(8 - 3),Big 12,,oklahoma,True
22,Louisville,1653.3,2012,1568.21,Florida,(23 - **33**) W,28.29,(11 - 2),(5 - 2),Big East,,louisville,True
23,UCF,1645.97,2012,1505.51,Ball State,(**38** - 17) W,24.65,(10 - 4),(7 - 4),Conference USA,East,ucf,True
24,Tulsa,1644.64,2012,1540.65,Iowa State,(**31** - 17) W,16.23,(11 - 3),(8 - 3),Conference USA,West,tulsa,True
25,Oklahoma State,1643.15,2012,1612.09,Purdue,(**58** - 14) W,21.78,(8 - 5),(5 - 5),Big 12,,oklahomastate,True
26,Northwestern,1643.02,2012,1565.68,Mississippi State,(**34** - 20) W,19.32,(10 - 3),(5 - 3),Big Ten,Legends,northwestern,True
27,Oregon State,1638.64,2012,1584.94,Texas,(**27** - 31) L,-17.69,(9 - 4),(6 - 4),Pac-12,North,oregonstate,True
28,BYU,1631.26,2012,1563.58,San Diego State,(6 - **23**) W,29.61,(8 - 5),(0 - 5),FBS Independents,,byu,True
29,Fresno State,1630.05,2012,1548.46,SMU,(43 - **10**) L,-39.32,(9 - 4),(7 - 4),Mountain West,,fresnostate,True
30,Baylor,1627.4,2012,1610.17,UCLA,(26 - **49**) W,30.88,(8 - 5),(4 - 5),Big 12,,baylor,True
31,Louisiana Tech,1624.19,2012,1520.91,San José State,(52 - **43**) L,-17.93,(9 - 3),(4 - 3),Western Athletic,,louisianatech,True
32,North Carolina,1621.81,2012,1563.5,Maryland,(**45** - 38) W,10.15,(8 - 4),(5 - 4),ACC,Coastal,northcarolina,True
